warehouse_code,product_sku,quantity
1100,3609703990-Fuji-Electric,4
1100,4162682322-FVR1.5AS1S-7E,2
1100,4759588160-Fuji-Electric,2
1100,5301201321-Fuji-Electric,2
1100,5628032943-Fuji-Electric,2
1100,9676406408-FVR2.2AS1S-4E,2
1100,7308220838-Fuji-Electric,2
1100,8225658634-TS1070S-Fuji,2
1100,7487255603-Fuji-Electric,2
1100,9614700243-Fuji-Electric,2
1100,3215099987-FRN0029E2S-4G,5
1100,1573562275-Fuji-Electric,2
1100,3142452214-FVR0.4AS1S-7E,2
1100,5159012414-FVR2.2AS1S-7E,2
1100,4043449809-FRN0002C2S-4A,2